File Path;Name;Description;Family;Number;Background;Shaped
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_1.png;Blossoming Aqua Surge;Eternal waves bloom with timeless beauty.;ocean;1;Plain;No
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_2.png;Aqua Vortex Can;Elegantly cloaked brew, a tidal art embrace.;ocean;2;Plain;No
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_3.png;Cerulean Tsunami Vessel;A wave-adorned can, encapsulating the fury and grace of the sea.;ocean;3;Plain;No
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_4.png;Aqua Elegance Swirl;Ornate waves adorn this mystic vessel.;ocean;4;Styled;No
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_5.png;Surging Crest Soda;Fluid artistry enfolds a vessel, encapsulating the ocean's raw power.;ocean;5;Plain;No
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_6.png;Oceanic Essence Can;Swirling waves captured on aluminum, a dance of the sea's spirit.;ocean;6;Plain;No
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_7.png;Aqua Swirl Elixir;Intricate waves enwrap a mysterious vintage brew.;ocean;7;Styled;No
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_8.png;Aegean Wave Vessel;Mystic sea waves swirl on a timeless vessel.;ocean;8;Styled;No
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_9.png;Aquafloral Tsunami Can;The swell of botanical elegance.;ocean;9;Styled;No
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_10.png;Aquafloral Vortex Can;Serene waves embrace vivid florals, encapsulating nature's dance.;ocean;10;Styled;No
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_11.png;Blossom Tsunami Dreams;A floral fantasy amidst a cresting azure wave.;ocean;11;Styled;No
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_12.png;Oceanic Brew Vortex;Surreal sea waves encapsulate an enigmatic beverage can.;ocean;12;Plain;No
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_13.png;Oceanic Canvass Swell;Serene waves immortalized on aluminum.;ocean;13;Plain;No
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_14.png;Tsunami Art Can;Sweeping waves adorn this collectible can, merging art with utility.;ocean;14;Plain;No
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_15.png;Floral Bull Brew;Enigmatic bull adorned in vibrant flora.;bull;15;Styled;No
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_16.png;Floral Bull Grace;A bull's serene gaze amidst vibrant blooms.;bull;16;Styled;No
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_17.png;Floral Bovine Harmony;Mystical bovine adorned with vibrant blooms.;bull;17;Styled;No
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_18.png;Floral Bull Spirit;Mystic bull adorned with autumn blooms.;bull;18;Styled;No
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_19.png;Cosmic Taurine Soda;Space-infused bovine majesty.;bull;19;Plain;Yes
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_20.png;Mystical Bovine Brew;An enigmatic ox adorns this ornate vessel, hinting at mythical elixirs within.;bull;20;Plain;Yes
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_21.png;Bovine Brew Majesty;Mystical fusion of strength and spirit in a can.;bull;21;Plain;Yes
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_22.png;Mystic Bovine Brew;A fusion of fierce gaze and spirited artistry—the liquid talisman.;bull;22;Plain;Yes
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_23.png;Mystic Bull Brew 1;A vibrant fusion of tribal art and modern design encapsulates strength and mystique.;bull;23;Plain;Yes
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_24.png;Mystic Taurine Elixir;Enigmatic fusion of totemic strength and psychedelic swirls.;bull;24;Plain;Yes
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_25.png;Mystic Bull Brew 2;Enigmatic elixir encased in art.;bull;25;Plain;Yes
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_26.png;Mystic Bull Brew;Enigmatic potion encased in a can, crowned by a mythic bull spirit.;bull;26;Plain;Yes
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_27.png;Mystic Bull Essence;Enigmatic can-bound bovine deity.;bull;27;Plain;Yes
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_28.png;Mystical Bull Brew;Enchanting elixir encased in mighty bull imagery.;bull;28;Plain;Yes
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_29.png;Majestic Bull Can;Ornate bovine power encased in mystique.;bull;29;Plain;Yes
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_30.png;Mythic Flame Bull;A majestic bull adorned with fiery artistry, encapsulating untamed spirit.;bull;30;Plain;Yes
https://nftstorage.link/ipfs/bafybeifqxsegwfcwusihwelfsagrsanbqjmckwlfr7i3lx72f27lu5l34y/SodaCan_31.png;Chromatic Bull Can;Vivid hues encapsulate bovine boldness.;bull;31;Plain;Yes
